ID	Pe	Time	Y
53	53	12	165.0085579
54	54	12	142.4913913
55	55	12	151.5152246
56	56	12	106.7102246
57	57	12	89.0858913
58	58	12	130.3148913
59	59	12	106.1408913
60	60	12	139.8108913
61	61	12	106.8815579
62	62	12	113.1412246
63	63	12	126.1912246
64	64	12	173.6972246
65	65	12	164.8005579
66	66	12	150.4512246
67	67	12	103.2248913
68	68	12	97.3298913
69	69	12	139.5868913
70	70	12	167.3172246
71	71	12	118.3915579
72	72	12	117.6195579
73	73	12	131.3695579
74	74	12	166.4055579
75	75	12	159.0540579
76	76	12	105.9688913
77	77	12	162.7535579
78	78	12	93.0187246
79	79	12	109.5088913
80	80	12	119.5268913
81	81	12	129.0292246
82	82	12	119.9818913
83	83	12	171.7245579
84	84	12	128.3968913
85	85	12	104.2248913
86	86	12	111.4233913
87	87	12	121.2962246
88	88	12	107.9692246
89	89	12	104.1158913
1	1	13	160.6959156
2	2	13	144.6035823
3	3	13	122.1212489
4	4	13	115.7879156
5	5	13	113.9945823
6	6	13	149.4452489
7	7	13	92.6420823
8	8	13	147.8949156
9	9	13	163.2177489
10	10	13	143.4615823
11	11	13	147.5612489
12	12	13	187.5774156
13	13	13	126.9495823
14	14	13	166.8329156
15	15	13	104.0812489
16	16	13	160.7305823
17	17	13	143.7912489
18	18	13	101.0962489
19	19	13	113.9309156
20	20	13	158.5079156
21	21	13	165.1872489
22	22	13	172.1184156
23	23	13	177.4222489
24	24	13	148.9615823
25	25	13	167.7244156
26	26	13	158.8112489
27	27	13	125.0212489
28	28	13	124.8337489
29	29	13	202.6745823
30	30	13	226.6025823
31	31	13	103.5525823
32	32	13	127.7972489
33	33	13	207.9499156
34	34	13	135.9429156
35	35	13	138.3525823
36	36	13	162.5457489
37	37	13	115.9724156
38	38	13	163.0275823
39	39	13	108.0295823
40	40	13	144.0835823
41	41	13	154.8874156
42	42	13	172.0812489
43	43	13	205.8819156
44	44	13	149.9245823
45	45	13	161.0659156
46	46	13	139.4147489
47	47	13	133.7065823
48	48	13	197.7847489
49	49	13	156.9737489
50	50	13	152.6642489
51	51	13	145.1732489
52	52	13	190.0622489
53	53	13	197.0929156
54	54	13	167.5935823
55	55	13	173.7999156
56	56	13	121.2025823
57	57	13	105.8642489
58	58	13	153.9042489
59	59	13	124.6242489
60	60	13	152.7332489
61	61	13	124.6949156
62	62	13	130.7859156
63	63	13	145.4194156
64	64	13	206.8729156
65	65	13	187.8505823
66	66	13	181.2425823
67	67	13	120.9305823
68	68	13	111.9369156
69	69	13	166.2162489
70	70	13	196.1322489
71	71	13	135.4812489
72	72	13	141.3892489
73	73	13	154.8289156
74	74	13	195.7442489
75	75	13	182.3497489
76	76	13	122.4822489
77	77	13	194.0565823
78	78	13	109.1295823
79	79	13	131.5817489
80	80	13	142.0752489
81	81	13	143.0659156
82	82	13	142.3130823
83	83	13	178.8902489
84	84	13	153.4029156
85	85	13	124.7342489
86	86	13	129.4789156
87	87	13	139.7212489
88	88	13	128.4542489
89	89	13	117.4482489
1	1	14	188.155257
2	2	14	159.5645904
3	3	14	141.2859237
4	4	14	132.4885904
